id_colaborador;nome_colaborador;departamento;motivo_ausencia;horas_ausencia;data_ausencia;salario
8943;Dr. Enzo Gabriel Ribeiro;Recursos Humanos;Outros;2;2020-11-12;5112.69
2427;Maria Eduarda Rodrigues;Vendas;Férias;5;2021-11-22;14560.21
3283;Rodrigo Cunha;Marketing;Férias;2;2022-02-01;8365.85
4861;Emilly Pinto;TI;Doença;6;2022-06-25;20255.09
8771;Isabelly Oliveira;TI;Viagem de Negocio;5;2021-05-04;15117.82
1771;Letícia Caldeira;Vendas;Viagem de Negocio;6;2020-05-28;5142.89
8547;Luiz Gustavo da Cruz;Recursos Humanos;Problemas Pessoais;3;2020-10-25;12462.32
1142;Dra. Carolina Farias;TI;Viagem de Negocio;7;2022-01-28;18367.46
6686;Vicente da Paz;Marketing;Licença Médica;4;2021-11-14;13995.86
1620;Luiz Gustavo Gonçalves;TI;Viagem de Negocio;8;2021-11-25;12755.41
2183;Paulo Gomes;Recursos Humanos;Doença;6;2022-10-09;13867.26
9476;Enrico Campos;Vendas;Outros;6;2023-10-08;3405.99
8441;Brenda da Cruz;Recursos Humanos;Viagem de Negocio;2;2021-11-19;3710.61
2830;Laura Monteiro;Recursos Humanos;Outros;2;2020-06-19;11314.27
9613;Levi Melo;Marketing;Licença Médica;1;2021-08-01;4594.33
7246;Alexia da Paz;Vendas;Licença Médica;4;2022-01-20;3977.56
3159;Catarina Fogaça;Marketing;Licença Médica;6;2021-07-03;19853.78
7937;Emanuel Santos;Recursos Humanos;Licença Médica;3;2021-03-18;3118.78
4940;Henrique Azevedo;TI;Férias;3;2021-07-24;13674.2
3021;Giovanna Moreira;Marketing;Viagem de Negocio;4;2023-08-19;14037.31
7775;Dr. Raul Cunha;TI;Férias;3;2021-02-06;20070.8
7026;João Guilherme Carvalho;Marketing;Licença Médica;7;2023-02-27;5535.49
1494;Maria Luiza Mendes;Marketing;Doença;5;2022-04-26;15723.36
8754;Elisa Pires;Vendas;Licença Médica;3;2023-05-14;5649.5
8478;Dra. Lavínia Pinto;Vendas;Problemas Pessoais;5;2023-05-13;18745.88
9472;Raul Duarte;TI;Problemas Pessoais;3;2020-11-11;20195.28
2106;Luiz Gustavo Vieira;Recursos Humanos;Licença Médica;1;2020-09-11;19269.79
1611;Pietra Ramos;TI;Doença;6;2020-10-11;20393.47
2878;João Felipe Alves;Recursos Humanos;Licença Médica;1;2022-05-21;13060.71
3128;Nicole Sales;Marketing;Outros;7;2020-03-07;4232.47
6054;Renan Novaes;Marketing;Licença Médica;3;2023-04-28;11985.36
9033;Vinicius Jesus;Vendas;Outros;4;2023-08-14;20213.36
9876;Sr. Luiz Gustavo Pinto;Vendas;Doença;2;2020-12-01;20234.86
3826;Pietro Alves;Vendas;Férias;2;2020-10-14;14768.18
5208;Gustavo Jesus;Recursos Humanos;Problemas Pessoais;5;2023-04-05;4744.06
2879;Letícia Moura;Vendas;Licença Médica;1;2023-09-06;11393.73
3631;Luiz Felipe Monteiro;Vendas;Viagem de Negocio;7;2021-11-01;8836.82
7357;Guilherme Nascimento;TI;Férias;8;2023-08-12;10570.55
2844;Ana Lívia Barbosa;Marketing;Férias;2;2023-07-29;20539.68
1835;Thales Peixoto;Marketing;Doença;4;2022-11-09;12407.49
6795;Amanda Souza;Marketing;Viagem de Negocio;1;2023-03-25;19393.57
7212;Lívia Monteiro;Recursos Humanos;Licença Médica;4;2020-06-21;3592.58
9278;Joana Jesus;Marketing;Férias;4;2022-08-25;8274.95
6810;Carlos Eduardo Fernandes;Marketing;Licença Médica;5;2022-04-15;17249.18
3300;Agatha Freitas;Marketing;Doença;8;2021-02-20;11694.99
3201;Gabriela Cardoso;Recursos Humanos;Problemas Pessoais;6;2020-08-31;5007.92
3073;Nathan Campos;Recursos Humanos;Problemas Pessoais;2;2022-06-02;19759.3
8438;Mariane Porto;Recursos Humanos;Outros;3;2021-07-10;8693.65
5923;Clara Ferreira;Vendas;Problemas Pessoais;6;2021-06-20;7877.05
7823;Emanuel Ribeiro;Marketing;Licença Médica;4;2020-12-31;8503.46
6970;Enzo Azevedo;Marketing;Problemas Pessoais;3;2022-02-06;12192.39
9425;Dr. Kaique Ferreira;TI;Problemas Pessoais;6;2020-08-30;10897.95
3826;Rafaela da Mota;Recursos Humanos;Problemas Pessoais;1;2023-02-18;5311.75
1012;Kamilly Rezende;Recursos Humanos;Doença;7;2021-03-24;7933.0
3616;Dr. Enrico Lima;TI;Doença;2;2021-06-13;19791.45
5040;Maria Clara Barbosa;Marketing;Férias;6;2022-03-03;17739.28
4526;Mariana Fogaça;Vendas;Outros;7;2020-11-22;13935.5
5998;Clarice Castro;Vendas;Problemas Pessoais;5;2021-05-16;15779.26
2869;João Pedro Sales;Recursos Humanos;Problemas Pessoais;2;2023-09-12;21739.77
8688;Sophie Moura;Recursos Humanos;Viagem de Negocio;1;2020-09-04;19319.64
2699;Marcela Monteiro;Marketing;Férias;5;2023-08-07;14629.26
5614;Davi Luiz Freitas;TI;Problemas Pessoais;6;2022-07-08;8269.7
5674;Dra. Elisa Castro;TI;Licença Médica;6;2020-08-24;13142.7
2447;Rafael Duarte;TI;Doença;2;2020-06-13;14341.85
6230;Gabriel da Rosa;TI;Viagem de Negocio;2;2020-03-25;3058.89
1376;Matheus Castro;Vendas;Viagem de Negocio;6;2023-11-09;9094.71
9567;Cecília Nunes;Vendas;Licença Médica;5;2022-04-25;16371.6
9738;Emanuelly Azevedo;Recursos Humanos;Doença;5;2021-09-17;5809.05
7080;Milena Caldeira;Marketing;Problemas Pessoais;2;2023-05-25;13470.66
5410;Marcela Carvalho;Marketing;Problemas Pessoais;1;2023-06-24;13346.88
3281;Juan Cardoso;TI;Viagem de Negocio;8;2022-02-27;8929.48
2029;Maria Sophia Nunes;Recursos Humanos;Viagem de Negocio;5;2021-08-23;4558.76
5814;Diego Silveira;Recursos Humanos;Viagem de Negocio;5;2021-10-01;5805.45
1202;Letícia Pereira;Recursos Humanos;Férias;4;2022-01-01;8083.3
2153;Dr. Davi Ribeiro;Recursos Humanos;Doença;6;2022-03-07;14318.71
4773;João Miguel Cavalcanti;Recursos Humanos;Licença Médica;2;2023-10-10;20243.61
9993;Alícia Mendes;TI;Férias;8;2021-05-21;10163.72
