id_colaborador;nome_colaborador;departamento;motivo_ausencia;horas_ausencia;data_ausencia;salario
3930;Milena Correia;TI;Problemas Pessoais;6;2021-04-25;10558.11
7768;Cauê Rodrigues;Vendas;Licença Médica;8;2020-12-16;14102.35
4047;Felipe Monteiro;Marketing;Outros;4;2022-11-20;16832.4
1096;Heloísa Viana;TI;Outros;8;2023-03-09;15461.77
5013;Maria Sophia Peixoto;Recursos Humanos;Licença Médica;4;2023-07-07;21029.13
2912;Ana Beatriz Lopes;Marketing;Outros;3;2020-01-13;7887.34
3748;João Vitor Farias;Vendas;Viagem de Negocio;5;2023-04-05;17230.21
1211;Helena Aragão;Marketing;Problemas Pessoais;8;2020-12-06;15352.94
1274;Augusto da Cunha;Vendas;Férias;8;2021-10-18;21801.51
5600;Srta. Rafaela Cardoso;TI;Doença;3;2020-06-12;13909.24
8725;Clarice Nascimento;Recursos Humanos;Férias;8;2020-03-28;17390.98
5910;Heloísa Porto;Vendas;Doença;4;2022-11-16;19434.6
8406;Yuri Nogueira;Vendas;Outros;1;2022-01-11;16180.16
3990;Isabelly da Rosa;TI;Doença;5;2023-08-30;15047.32
4354;Valentina Ferreira;TI;Problemas Pessoais;5;2021-10-12;15501.17
8769;Ana Beatriz Caldeira;Marketing;Doença;5;2023-01-27;15713.57
7420;Mirella Santos;Vendas;Férias;7;2021-02-10;13656.29
2318;Sofia Costa;TI;Outros;6;2023-06-09;3697.95
6663;Joaquim Novaes;TI;Problemas Pessoais;6;2022-05-27;6279.08
4381;Ana Luiza da Rosa;TI;Outros;2;2023-05-30;14758.78
4710;Sr. André Viana;TI;Licença Médica;5;2023-04-16;4272.77
4096;Luiza Cardoso;Vendas;Viagem de Negocio;8;2021-06-03;14867.12
5553;Francisco Nunes;TI;Problemas Pessoais;5;2022-12-26;7940.6
7081;Pedro Fernandes;TI;Férias;7;2021-09-01;6474.31
7470;Lucas Mendes;Vendas;Doença;6;2021-01-19;5352.36
3183;Cecília Carvalho;TI;Doença;8;2020-11-17;13813.12
3941;Raquel Caldeira;Vendas;Problemas Pessoais;4;2021-09-08;4848.99
6431;Lorenzo Campos;Recursos Humanos;Problemas Pessoais;5;2022-02-14;21810.77
1485;Alice da Costa;Recursos Humanos;Viagem de Negocio;4;2023-07-01;6321.97
